id,word,domain,type,tier,language,nsm_prime_ref,nsm_prime_group,position
1659,contemporary,temporal,other,2,ENU,now,TIME,7
2285,contingent,logic,conjunction,2,ENU,if,LOGICAL_CONCEPTS,7
2149,contrary,logic,conjunction,2,ENU,not,LOGICAL_CONCEPTS,6
602,copious,quantity,adjective,2,ENU,much many,QUANTIFIERS,9
2090,core,spatial,other,2,ENU,inside,SPACE,10
240,corpse,entity,noun,2,ENU,body,SUBSTANTIVES,2
1269,correct,communication,verb,2,ENU,true,SPEECH,10
2386,corresponding,comparison,verb,2,ENU,like,SIMILARITY,9
2182,could be,logic,conjunction,2,ENU,maybe,LOGICAL_CONCEPTS,4
497,couple,quantity,determiner,2,ENU,two,QUANTIFIERS,2
967,crave,cognition,verb,2,ENU,want,MENTAL_PREDICATES,4
366,current,reference,determiner,2,ENU,this,DETERMINERS,4
1654,current,temporal,other,2,ENU,now,TIME,2
1655,currently,temporal,adverb,2,ENU,now,TIME,3
1587,dead,life,verb,2,ENU,die,LIFE_DEATH,2
1586,death,life,verb,2,ENU,die,LIFE_DEATH,1
1590,deceased,life,verb,2,ENU,die,LIFE_DEATH,5
1184,declare,communication,verb,2,ENU,say,SPEECH,7
1023,decline,cognition,verb,2,ENU,dont want,MENTAL_PREDICATES,8
1592,demise,life,verb,2,ENU,die,LIFE_DEATH,7
371,demonstrative,reference,adjective,2,ENU,this,DETERMINERS,9
2147,denial,logic,conjunction,2,ENU,not,LOGICAL_CONCEPTS,4
666,desirable,evaluation,adjective,2,ENU,good,EVALUATORS,8
964,desire,cognition,verb,2,ENU,want,MENTAL_PREDICATES,1
1142,detect,cognition,verb,2,ENU,hear,MENTAL_PREDICATES,7
716,detrimental,evaluation,adjective,2,ENU,bad,EVALUATORS,9
1346,develop,action,verb,2,ENU,happen,ACTIONS_EVENTS_MOVEMENT,7
429,different,reference,determiner,2,ENU,other,DETERMINERS,1
806,diminutive,property,adjective,2,ENU,small,DESCRIPTORS,9
